inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
OEBRKCOSUFCWJD-UHFFFAOYSA-N,COP(=O)(OC)OC=C(Cl)Cl,COP(=O)(OC=C(Cl)Cl)OC,62-73-7,Dichlorvos,,bcf,0.5011872336272722,L/kg,-0.3,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID5020449,,1,single,,
CVXBEEMKQHEXEN-UHFFFAOYSA-N,CNC(=O)Oc1cccc2ccccc12,O=C(Oc(c(c(ccc1)cc2)c1)c2)NC,63-25-2,Carbaryl,,bcf,8.912509381337454,L/kg,0.95,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID9020247,,1,single,,
YPHMISFOHDHNIV-IKPXDILTSA-N,CC1C[C@H](C)CC([C@H](O)CC2CC(=O)NC(=O)C2)C1=O,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,66-81-9,Cycloheximide,,bcf,2.8183829312644537,L/kg,0.45,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID6024882,,1,single,,
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,C[S+](C)[O-],CS(C)=O,67-68-5,Dimethyl sulfoxide,,bcf,3.9810717055349722,L/kg,0.6,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID2021735,,1,single,,
VHHHONWQHHHLTI-UHFFFAOYSA-N,ClC(Cl)(Cl)C(Cl)(Cl)Cl,ClC(Cl)(Cl)C(Cl)(Cl)Cl,67-72-1,Hexachloroethane,,bcf,512.8613839913648,L/kg,2.71,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID7020689,,1,single,,
ZMXDDKWLCZADIW-UHFFFAOYSA-N,CN(C)C=O,O=CN(C)C,68-12-2,"N,N-Dimethylformamide",,bcf,0.7943282347242815,L/kg,-0.1,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID6020515,,1,single,,
UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,c1ccccc1,71-43-2,Benzene,,bcf,4.265795188015927,L/kg,0.63,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID3039242,,1,single,,
UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl,CC(Cl)(Cl)Cl,71-55-6,"1,1,1-Trichloroethane",,bcf,5.011872336272722,L/kg,0.7,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID0021381,,1,single,,
IAKOZHOLGAGEJT-UHFFFAOYSA-N,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,COc1ccc(cc1)C(c1ccc(cc1)OC)C(Cl)(Cl)Cl,72-43-5,Methoxychlor,,bcf,316.22776601683796,L/kg,2.5,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID9020827,,1,single,,
UTGQNNCQYDRXCH-UHFFFAOYSA-N,c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,N(c(ccc(Nc(cccc1)c1)c2)c2)c(cccc3)c3,74-31-7,"N,N'-Diphenyl-p-phenylenediamine",,bcf,1318.2567385564075,L/kg,3.12,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID9020538,,1,single,,ionizable
JPOXNPPZZKNXOV-UHFFFAOYSA-N,ClCBr,ClCBr,74-97-5,Bromochloromethane,,bcf,3.9810717055349722,L/kg,0.6,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID4021503,,1,single,,
YMWUJEATGCHHMB-UHFFFAOYSA-N,ClCCl,ClCCl,75-09-2,Dichloromethane,,bcf,22.908676527677734,L/kg,1.36,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID0020868,,1,single,,
DIKBFYAXUHHXCS-UHFFFAOYSA-N,BrC(Br)Br,BrC(Br)Br,75-25-2,Bromoform,,bcf,13.489628825916533,L/kg,1.13,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID1021374,,1,single,,
LGXVIGDEPROXKC-UHFFFAOYSA-N,C=C(Cl)Cl,C=C(Cl)Cl,75-35-4,"1,1-Dichloroethylene",,bcf,12.882495516931343,L/kg,1.11,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID8021438,,1,single,,
DKGAVHZHDRPRBM-UHFFFAOYSA-N,CC(C)(C)O,CC(C)(C)O,75-65-0,tert-Butyl alcohol,,bcf,5.011872336272722,L/kg,0.7,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID8020204,,1,single,,
IUGYQRQAERSCNH-UHFFFAOYSA-N,CC(C)(C)C(=O)O,O=C(O)C(C)(C)C,75-98-9,"2,2-Dimethylpropanoic acid",,bcf,2.290867652767773,L/kg,0.36,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID8026432,,1,single,,ionizable
YNJBWRMUSHSURL-UHFFFAOYSA-N,O=C(O)C(Cl)(Cl)Cl,OC(=O)C(Cl)(Cl)Cl,76-03-9,Trichloroacetic acid,,bcf,1.6982436524617444,L/kg,0.23,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID1021378,,1,single,,ionizable
UGCSPKPEHQEOSR-UHFFFAOYSA-N,FC(Cl)(Cl)C(F)(Cl)Cl,FC(C(F)(Cl)Cl)(Cl)Cl,76-12-0,"1,2-Difluoro-1,1,2,2-tetrachloroethane",,bcf,58.8843655355589,L/kg,1.77,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID5026091,,1,single,,
FRCCEHPWNOQAEU-UHFFFAOYSA-N,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,ClC1(Cl)C2(Cl)C3C=CC(Cl)C3C1(Cl)C(Cl)=C2Cl,76-44-8,Heptachlor,,bcf,8709.635899560806,L/kg,3.94,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID3020679,,1,single,,
JBWKIWSBJXDJDT-UHFFFAOYSA-N,ClC(c1ccccc1)(c1ccccc1)c1ccccc1,ClC(c1ccccc1)(c1ccccc1)c1ccccc1,76-83-5,Trityl chloride,,bcf,426.57951880159254,L/kg,2.63,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID3052511,,1,single,,
UKXSKSHDVLQNKG-UHFFFAOYSA-N,O=C(O)C(O)(c1ccccc1)c1ccccc1,OC(=O)C(O)(c1ccccc1)c1ccccc1,76-93-7,Benzilic acid,,bcf,1.8197008586099834,L/kg,0.26,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID0058805,,1,single,,ionizable
DQWPFSLDHJDLRL-UHFFFAOYSA-N,CCOP(=O)(OCC)OCC,CCOP(=O)(OCC)OCC,78-40-0,Triethyl phosphate,,bcf,1.288249551693134,L/kg,0.11,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID8026228,,1,single,,
GTVWRXDRKAHEAD-UHFFFAOYSA-N,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,CCCCC(COP(=O)(OCC(CCCC)CC)OCC(CCCC)CC)CC,78-42-2,Tris(2-ethylhexyl) phosphate,,bcf,50.11872336272722,L/kg,1.7,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID0021414,,1,single,,
WTLBZVNBAKMVDP-UHFFFAOYSA-N,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC,78-51-3,Tris(2-butoxyethyl) phosphate,,bcf,5.7543993733715695,L/kg,0.76,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID5021758,,1,single,,
DMWVYCCGCQPJEA-UHFFFAOYSA-N,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,O(OC(C)(C)C)C(CCC(OOC(C)(C)C)(C)C)(C)C,78-63-7,"2,5-Dimethyl-2,5-di-(tert-butylperoxy)hexane",,bcf,3019.9517204020162,L/kg,3.48,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID9025110,,1,single,,
RRHGJUQNOFWUDK-UHFFFAOYSA-N,C=CC(=C)C,CC(=C)C=C,78-79-5,Isoprene,,bcf,19.952623149688797,L/kg,1.3,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID2020761,,1,single,,
KNKRKFALVUDBJE-UHFFFAOYSA-N,CC(Cl)CCl,CC(Cl)CCl,78-87-5,"1,2-Dichloropropane",,bcf,7.079457843841379,L/kg,0.85,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID0020448,,1,single,,
XSTXAVWGXDQKEL-UHFFFAOYSA-N,ClC=C(Cl)Cl,ClC=C(Cl)Cl,79-01-6,Trichloroethylene,,bcf,15.848931924611133,L/kg,1.2,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID0021383,,1,single,,
QXSZNDIIPUOQMB-UHFFFAOYSA-N,BrC(Br)C(Br)Br,BrC(Br)C(Br)Br,79-27-6,"1,1,2,2-Tetrabromoethane",,bcf,5.495408738576246,L/kg,0.74,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID1026083,,1,single,,
QPFMBZIOSGYJDE-UHFFFAOYSA-N,ClC(Cl)C(Cl)Cl,ClC(Cl)C(Cl)Cl,79-34-5,"1,1,2,2-Tetrachloroethane",,bcf,12.882495516931343,L/kg,1.11,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID7021318,,1,single,,
CRPUJAZIXJMDBK-UHFFFAOYSA-N,C=C1C2CCC(C2)C1(C)C,CC1(C)C2CC(CC2)C1=C,79-92-5,Camphene,,bcf,954.992586021436,L/kg,2.98,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID8026488,,1,single,,
VEORPZCZECFIRK-UHFFFAOYSA-N,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,79-94-7,"3,3',5,5'-Tetrabromobisphenol A",,bcf,269.1534803926917,L/kg,2.43,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID1026081,,1,single,,ionizable
IISBACLAFKSPIT-UHFFFAOYSA-N,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,80-05-7,Bisphenol A,,bcf,43.65158322401658,L/kg,1.64,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID7020182,,1,single,,ionizable
XMWRWTSZNLOZFN-UHFFFAOYSA-N,Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-],N(=O)(=O)c(c(c(N(=O)(=O))c(c1N(=O)(=O))C(C)(C)C)C)c1C,81-15-2,"2,4,6-Trinitro-1,3-dimethyl-5-tert-butylbenzene",,bcf,4073.802778041126,L/kg,3.61,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID1021405,,1,single,,ionizable
GWIAAIUASRVOIA-UHFFFAOYSA-N,Nc1ccc2ccccc2c1S(=O)(=O)O,Nc1ccc2ccccc2c1S(O)(=O)=O,81-16-3,2-Amino-1-naphthalenesulfonic acid,,bcf,6.025595860743578,L/kg,0.78,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID7020922,,1,single,,ionizable
HUKPVYBUJRAUAG-UHFFFAOYSA-N,O=C1c2ccccc2-c2cccc3cccc1c23,O=C1c2cccc3cccc(c32)-c2ccccc21,82-05-3,Benz[de]anthracen-7-one,,bcf,123.02687708123811,L/kg,2.09,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID8052566,,1,single,,
KHUFHLFHOQVFGB-UHFFFAOYSA-N,Nc1cccc2c1C(=O)c1ccccc1C2=O,Nc1cccc2c1C(=O)c1ccccc1C2=O,82-45-1,1-Aminoanthraquinone,,bcf,95.49925860214358,L/kg,1.98,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID2052572,,1,single,,ionizable
